doi,标题,期刊,年份,作者
,"Magnetic field stabilized Wigner crystal states in a graphene moir\'e
  superlattice",,2023,"Guorui Chen,Ya-Hui Zhang,Aaron Sharpe,Zuocheng Zhang,Shaoxin Wang,Lili Jiang,Bosai Lyu,Hongyuan Li,Kenji Watanabe,Takashi Taniguchi,Zhiwen Shi,David Goldhaber-Gordon,Yuanbo Zhang,Feng Wang"
10.1063/5.0110875,An ultra-high vacuum system for fabricating clean two-dimensional material devices.,The Review of scientific instruments,2023,"Shuaifei Guo,Mingyan Luo,Gang Shi,Ning Tian,Zhe Huang,Fangyuan Yang,Liguo Ma,Nai Zhou Wang,Qinzhen Shi,Kailiang Xu,Zihan Xu,Kenji Watanabe,Takashi Taniguchi,Xian Hui Chen,Dawei Shen,Liyuan Zhang,Wei Ruan,Yuanbo Zhang"
,Magnetic Field-Stabilized Wigner Crystal States in a Graphene Moiré Superlattice.,Nano letters,2023,"Guorui Chen,Ya-Hui Zhang,Aaron Sharpe,Zuocheng Zhang,Shaoxin Wang,Lili Jiang,Bosai Lyu,Hongyuan Li,Kenji Watanabe,Takashi Taniguchi,Zhiwen Shi,David Goldhaber-Gordon,Yuanbo Zhang,Feng Wang"
10.1021/acs.nanolett.1c03699,Tunable Orbital Ferromagnetism at Noninteger Filling of a Moire Superlattice,NANO LETTERS,2022,"Guorui Chen,Aaron L. Sharpe,Eli J. Fox,Shaoxin Wang,Bosai Lyu,Lili Jiang,Hongyuan Li,Kenji Watanabe,Takashi Taniguchi,Michael F. Crommie,M. A. Kastner,Zhiwen Shi,David Goldhaber-Gordon,Yuanbo Zhang,Feng Wang"
10.1515/nanoph-2021-0801,Gate-tuned graphene meta-devices for dynamically controlling terahertz wavefronts,NANOPHOTONICS,2022,"Qiushi Li,Xiaodong Cai,Tong Liu,Min Jia,Qiong Wu,Haoyang Zhou,Huanhuan Liu,Qianqian Wang,Xiaohui Ling,Cong Chen,Fan Ding,Qiong He,Yuanbo Zhang,Shiyi Xiao,Lei Zhou"
,Metal to Mott Insulator Transition in Two-dimensional 1T-TaSe$_2$,,2022,"Ning Tian,Zhe Huang,Bo Gyu Jang,Shuaifei Guo,Ya-Jun Yan,Jingjing Gao,Yijun Yu,Jinwoong Hwang,Meixiao Wang,Xuan Luo,Yu Ping Sun,Zhongkai Liu,Dong-Lai Feng,Xianhui Chen,Sung-Kwan Mo,Minjae Kim,Young-Woo Son,Dawei Shen,Wei Ruan,Yuanbo Zhang"
10.1038/s41565-022-01230-0,Continuous epitaxy of single-crystal graphite films by isothermal carbon diffusion through nickel,Nature Nanotechnology,2022,"Zhang, Zhibin,Ding, Mingchao,Cheng, Ting,Qiao, Ruixi,Zhao, Mengze,Luo, Mingyan,Wang, Enze,Sun, Yufei,Zhang, Shuai,Li, Xingguang,Zhang, Zhihong,Mao, Hancheng,Liu, Fang,Fu, Ying,Liu, Kehai,Zou, Dingxin,Liu, Can,Wu, Muhong,Fan, Chuanlin,Zhu, Qingshan,Wang, Xinqiang,Gao, Peng,Li, Qunyang,Liu, Kai,Zhang, Yuanbo,Bai, Xuedong,Yu, Dapeng,Ding, Feng,Wang, Enge,Liu, Kaihui"
10.1126/science.abg3036,Spectroscopy signatures of electron correlations in a trilayer graphene/hBN moire superlattice,SCIENCE,2022,"Jixiang Yang,Guorui Chen,Tianyi Han,Qihang Zhang,Ya-Hui Zhang,Lili Jiang,Bosai Lyu,Hongyuan Li,Kenji Watanabe,Takashi Taniguchi,Zhiwen Shi,Todadri Senthil,Yuanbo Zhang,Feng Wang,Long Ju"
10.1126/sciadv.abn1811,HgCdTe/black phosphorus van der Waals heterojunction for high-performance polarization-sensitive midwave infrared photodetector,SCIENCE ADVANCES,2022,"Hanxue Jiao,Xudong Wang,Yan Chen,Shuaifei Guo,Shuaiqin Wu,Chaoyu Song,Shenyang Huang,Xinning Huang,Xiaochi Tai,Tie Lin,Hong Shen,Hugen Yan,Weida Hu,Xiangjian Meng,Junhao Chu,Yuanbo Zhang,Jianlu Wang"
10.1038/s41377-021-00522-9,Engineering Single-Molecule Fluorescence With Asymmetric Nano-Antennas,LIGHT-SCIENCE & APPLICATIONS,2021,"Wenqi Zhao,Xiaochaoran Tian,Zhening Fang,Shiyi Xiao,Meng Qiu,Qiong He,Wei Feng,Fuyou Li,Yuanbo Zhang,Lei Zhou,Yan-Wen Tan"
,Correlation Effect in ABC-TLG and hBN Superlattice Revealed by Infrared Photocurrent Spectroscopy,Bulletin of the American Physical Society,2021,"Jixiang Yang,Guorui Chen,Yahui Zhang,Qihang Zhang,Lili Jiang,Hongyuan Li,Bosai Lv,Kenji Watanabe,Takashi Taniguchi,Zhiwen Shi,Senthil Todadri,Yuanbo Zhang,feng wang,Long Ju"
,Engineering single-molecule fluorescence with asymmetric nano-antennas,Light: Science & Applications,2021,"Wenqi Zhao,Xiaochaoran Tian,Zhening Fang,Shiyi Xiao,Meng Qiu,Qiong He,Wei Feng,Fuyou Li,Yuanbo Zhang,Lei Zhou,Yan-Wen Tan"
